<TICKER>,x,<CLOSE>,<OPENINT>,<COl12>,Date
????_??6,20121224,37530.7,36829.3,Overall Index,12/23/2012
????_??6,20121225,37366.4,37530.7,Overall Index,12/24/2012
????_??6,20121226,37798.8,37366.4,Overall Index,12/25/2012
????_??6,20121229,37622.4,37798.8,Overall Index,12/26/2012
????_??6,20121230,37116.3,37622.4,Overall Index,12/29/2012
????_??6,20121231,37860.6,37116.3,Overall Index,12/30/2012
????_??6,20130101,37987,37860.6,Overall Index,12/31/2012
????_??6,20130102,37648.5,37987,Overall Index,1/1/2013
????_??6,20130106,37059,37648.5,Overall Index,1/2/2013
????_??6,20130107,37077,37059,Overall Index,1/6/2013
????_??6,20130108,37314.9,37077,Overall Index,1/7/2013
????_??6,20130109,37441.5,37314.9,Overall Index,1/8/2013
????_??6,20130113,37786.2,37441.5,Overall Index,1/9/2013
????_??6,20130114,38082.8,37786.2,Overall Index,1/13/2013
????_??6,20130115,38322.5,38082.8,Overall Index,1/14/2013
????_??6,20130116,38343.6,38322.5,Overall Index,1/15/2013
????_??6,20130119,37898.8,38343.6,Overall Index,1/16/2013
????_??6,20130120,37627.5,37898.8,Overall Index,1/19/2013
????_??6,20130121,37284,37627.5,Overall Index,1/20/2013
????_??6,20130122,36594,37284,Overall Index,1/21/2013
????_??6,20130123,37233.7,36594,Overall Index,1/22/2013
????_??6,20130126,37409.4,37233.7,Overall Index,1/23/2013
????_??6,20130128,36674.7,37409.4,Overall Index,1/26/2013
????_??6,20130130,36554.9,36674.7,Overall Index,1/28/2013
????_??6,20130202,36801.4,36554.9,Overall Index,1/30/2013
????_??6,20130203,36761.1,36801.4,Overall Index,2/2/2013
????_??6,20130204,36447,36761.1,Overall Index,2/3/2013
????_??6,20130205,36505.6,36447,Overall Index,2/4/2013
????_??6,20130206,36913.3,36505.6,Overall Index,2/5/2013
????_??6,20130209,38205.4,36913.3,Overall Index,2/6/2013
????_??6,20130211,38394.3,38205.4,Overall Index,2/9/2013
????_??6,20130212,38640.1,38394.3,Overall Index,2/11/2013
????_??6,20130213,38611.4,38640.1,Overall Index,2/12/2013
????_??6,20130216,38655,38611.4,Overall Index,2/13/2013
????_??6,20130217,38710.3,38655,Overall Index,2/16/2013
????_??6,20130218,38739.4,38710.3,Overall Index,2/17/2013
????_??6,20130219,38550.8,38739.4,Overall Index,2/18/2013
????_??6,20130220,38479.2,38550.8,Overall Index,2/19/2013
????_??6,20130223,38325.8,38479.2,Overall Index,2/20/2013
????_??6,20130224,37931.1,38325.8,Overall Index,2/23/2013
????_??6,20130225,37350.6,37931.1,Overall Index,2/24/2013
????_??6,20130226,37573.7,37350.6,Overall Index,2/25/2013
????_??6,20130227,37811.6,37573.7,Overall Index,2/26/2013
????_??6,20130302,37437.2,37811.6,Overall Index,2/27/2013
????_??6,20130303,37156.1,37437.2,Overall Index,3/2/2013
????_??6,20130304,37135.9,37156.1,Overall Index,3/3/2013
????_??6,20130305,36950.6,37135.9,Overall Index,3/4/2013
????_??6,20130306,36925.1,36950.6,Overall Index,3/5/2013
????_??6,20130309,36585.5,36925.1,Overall Index,3/6/2013
????_??6,20130310,37101,36585.5,Overall Index,3/9/2013
????_??6,20130311,37193.6,37101,Overall Index,3/10/2013
????_??6,20130312,37268.4,37193.6,Overall Index,3/11/2013
????_??6,20130313,37998.7,37268.4,Overall Index,3/12/2013
????_??6,20130316,37854.8,37998.7,Overall Index,3/13/2013
????_??6,20130317,37516.1,37854.8,Overall Index,3/16/2013
????_??6,20130318,38040.8,37516.1,Overall Index,3/17/2013
????_??6,20130325,38602.6,38040.8,Overall Index,3/18/2013
????_??6,20130326,39351.1,38602.6,Overall Index,3/25/2013
????_??6,20130327,39741.8,39351.1,Overall Index,3/26/2013
????_??6,20130330,39714.9,39741.8,Overall Index,3/27/2013
????_??6,20130331,39990.2,39714.9,Overall Index,3/30/2013
????_??6,20130403,40151.1,39990.2,Overall Index,3/31/2013
????_??6,20130406,40134.3,40151.1,Overall Index,4/3/2013
????_??6,20130407,39915.6,40134.3,Overall Index,4/6/2013
????_??6,20130408,40068,39915.6,Overall Index,4/7/2013
????_??6,20130409,40606.6,40068,Overall Index,4/8/2013
????_??6,20130410,40533,40606.6,Overall Index,4/9/2013
????_??6,20130413,40255.1,40533,Overall Index,4/10/2013
????_??6,20130415,40621,40255.1,Overall Index,4/13/2013
????_??6,20130416,40834.9,40621,Overall Index,4/15/2013
????_??6,20130417,40747.6,40834.9,Overall Index,4/16/2013
????_??6,20130420,40550.8,40747.6,Overall Index,4/17/2013
????_??6,20130421,40506,40550.8,Overall Index,4/20/2013
????_??6,20130422,41133,40506,Overall Index,4/21/2013
????_??6,20130423,41583.8,41133,Overall Index,4/22/2013
????_??6,20130424,42052.4,41583.8,Overall Index,4/23/2013
????_??6,20130427,42334.2,42052.4,Overall Index,4/24/2013
????_??6,20130428,42507.7,42334.2,Overall Index,4/27/2013
????_??6,20130429,43192.3,42507.7,Overall Index,4/28/2013
????_??6,20130430,43994.3,43192.3,Overall Index,4/29/2013
????_??6,20130501,44537.1,43994.3,Overall Index,4/30/2013
????_??6,20130504,44993.5,44537.1,Overall Index,5/1/2013
????_??6,20130505,44897.9,44993.5,Overall Index,5/4/2013
????_??6,20130506,44943.7,44897.9,Overall Index,5/5/2013
????_??6,20130507,44707.4,44943.7,Overall Index,5/6/2013
????_??6,20130508,44683.9,44707.4,Overall Index,5/7/2013
????_??6,20130511,45091.4,44683.9,Overall Index,5/8/2013
????_??6,20130512,45512.7,45091.4,Overall Index,5/11/2013
????_??6,20130513,44963.3,45512.7,Overall Index,5/12/2013
????_??6,20130514,44129,44963.3,Overall Index,5/13/2013
????_??6,20130515,43864.3,44129,Overall Index,5/14/2013
????_??6,20130518,43301,43864.3,Overall Index,5/15/2013
